timestamp	idf_value	term	count	amount_tweets
1366048803	NaN	boston	NaN	42
1366048803	NaN	marathon	NaN	42
1366048803	NaN	explosion	NaN	42
1366048804	6.340359303727752	boston	1	567
1366048804	6.340359303727752	marathon	1	567
1366048804	NaN	explosion	NaN	567
1366048805	NaN	boston	NaN	578
1366048805	NaN	marathon	NaN	578
1366048805	NaN	explosion	NaN	578
1366048806	NaN	boston	NaN	537
1366048806	NaN	marathon	NaN	537
1366048806	NaN	explosion	NaN	537
1366048807	NaN	boston	NaN	485
1366048807	NaN	marathon	NaN	485
1366048807	NaN	explosion	NaN	485
1366048808	6.075346031088684	boston	1	435
1366048808	6.075346031088684	marathon	1	435
1366048808	NaN	explosion	NaN	435
1366048809	NaN	boston	NaN	548
1366048809	NaN	marathon	NaN	548
1366048809	NaN	explosion	NaN	548
1366048810	6.255750041753367	boston	1	521
1366048810	NaN	marathon	NaN	521
1366048810	NaN	explosion	NaN	521
1366048811	NaN	boston	NaN	552
1366048811	NaN	marathon	NaN	552
1366048811	NaN	explosion	NaN	552
1366048812	NaN	boston	NaN	542
1366048812	NaN	marathon	NaN	542
1366048812	NaN	explosion	NaN	542
1366048813	NaN	boston	NaN	463
1366048813	NaN	marathon	NaN	463
1366048813	NaN	explosion	NaN	463
1366048814	NaN	boston	NaN	502
1366048814	NaN	marathon	NaN	502
1366048814	NaN	explosion	NaN	502
1366048815	6.161207321695077	boston	1	474
1366048815	NaN	marathon	NaN	474
1366048815	NaN	explosion	NaN	474
1366048816	6.198478716492308	boston	1	492
1366048816	6.198478716492308	marathon	1	492
1366048816	NaN	explosion	NaN	492
1366048817	NaN	boston	NaN	476
1366048817	6.16541785423142	marathon	1	476
1366048817	NaN	explosion	NaN	476
1366048818	NaN	boston	NaN	526
1366048818	NaN	marathon	NaN	526
1366048818	NaN	explosion	NaN	526
1366048819	NaN	boston	NaN	485
1366048819	NaN	marathon	NaN	485
1366048819	NaN	explosion	NaN	485
1366048820	NaN	boston	NaN	558
1366048820	NaN	marathon	NaN	558
1366048820	NaN	explosion	NaN	558
1366048821	NaN	boston	NaN	533
1366048821	NaN	marathon	NaN	533
1366048821	NaN	explosion	NaN	533
1366048822	6.282266746896006	boston	1	535
1366048822	NaN	marathon	NaN	535
1366048822	NaN	explosion	NaN	535
1366048823	NaN	boston	NaN	547
1366048823	NaN	marathon	NaN	547
1366048823	NaN	explosion	NaN	547
1366048824	NaN	boston	NaN	131
1366048824	NaN	marathon	NaN	131
1366048824	NaN	explosion	NaN	131
1366048825	NaN	boston	NaN	492
1366048825	NaN	marathon	NaN	492
1366048825	NaN	explosion	NaN	492
1366048826	6.75343791859778	boston	1	857
1366048826	6.75343791859778	marathon	1	857
1366048826	NaN	explosion	NaN	857
1366048827	NaN	boston	NaN	479
1366048827	NaN	marathon	NaN	479
1366048827	NaN	explosion	NaN	479
1366048828	NaN	boston	NaN	519
1366048828	NaN	marathon	NaN	519
1366048828	NaN	explosion	NaN	519
1366048829	NaN	boston	NaN	130
1366048829	NaN	marathon	NaN	130
1366048829	NaN	explosion	NaN	130
1366048829	NaN	boston	NaN	343
1366048829	NaN	marathon	NaN	343
1366048829	NaN	explosion	NaN	343
1366048831	6.774223886357614	boston	1	875
1366048831	NaN	marathon	NaN	875
1366048831	NaN	explosion	NaN	875
1366048832	NaN	boston	NaN	556
1366048832	NaN	marathon	NaN	556
1366048832	NaN	explosion	NaN	556
1366048833	NaN	boston	NaN	553
1366048833	NaN	marathon	NaN	553
1366048833	NaN	explosion	NaN	553
1366048834	NaN	boston	NaN	496
1366048834	NaN	marathon	NaN	496
1366048834	NaN	explosion	NaN	496
1366048835	NaN	boston	NaN	499
1366048835	NaN	marathon	NaN	499
1366048835	NaN	explosion	NaN	499
1366048836	6.278521424165844	boston	1	533
1366048836	5.585374243605899	marathon	2	533
1366048836	NaN	explosion	NaN	533
1366048837	6.129050210060545	boston	1	459
1366048837	6.129050210060545	marathon	1	459
1366048837	NaN	explosion	NaN	459
1366048838	NaN	boston	NaN	499
1366048838	NaN	marathon	NaN	499
1366048838	NaN	explosion	NaN	499
1366048839	NaN	boston	NaN	536
1366048839	NaN	marathon	NaN	536
1366048839	NaN	explosion	NaN	536
1366048840	5.831882477283517	boston	1	341
1366048840	5.831882477283517	marathon	1	341
1366048840	NaN	explosion	NaN	341
1366048841	NaN	boston	NaN	620
1366048841	NaN	marathon	NaN	620
1366048841	NaN	explosion	NaN	620
1366048842	NaN	boston	NaN	478
1366048842	6.169610732491456	marathon	1	478
1366048842	NaN	explosion	NaN	478
