timestamp	idf_value	term	count	amount_tweets
1430557018	NaN	royalbaby	NaN	2
1430557018	NaN	cambridge	NaN	2
1430557018	NaN	princess	NaN	2
1430557018	NaN	baby	NaN	2
1430557018	NaN	royal	NaN	2
1430557019	NaN	royalbaby	NaN	235
1430557019	NaN	cambridge	NaN	235
1430557019	NaN	princess	NaN	235
1430557019	5.459585514144159	baby	1	235
1430557019	5.459585514144159	royal	1	235
1430557020	5.5254529391317835	royalbaby	1	251
1430557020	NaN	cambridge	NaN	251
1430557020	NaN	princess	NaN	251
1430557020	4.139158578011894	baby	4	251
1430557020	NaN	royal	NaN	251
1430557021	5.598421958998375	royalbaby	1	270
1430557021	NaN	cambridge	NaN	270
1430557021	NaN	princess	NaN	270
1430557021	5.598421958998375	baby	1	270
1430557021	NaN	royal	NaN	270
1430557022	NaN	royalbaby	NaN	262
1430557022	NaN	cambridge	NaN	262
1430557022	NaN	princess	NaN	262
1430557022	4.875197323201151	baby	2	262
1430557022	NaN	royal	NaN	262
1430557023	5.638354669333745	royalbaby	1	281
1430557023	NaN	cambridge	NaN	281
1430557023	NaN	princess	NaN	281
1430557023	NaN	baby	NaN	281
1430557023	NaN	royal	NaN	281
1430557024	4.93806460126142	royalbaby	2	279
1430557024	NaN	cambridge	NaN	279
1430557024	NaN	princess	NaN	279
1430557024	5.631211781821365	baby	1	279
1430557024	5.631211781821365	royal	1	279
1430557025	5.4510384535657	royalbaby	1	233
1430557025	5.4510384535657	cambridge	1	233
1430557025	NaN	princess	NaN	233
1430557025	5.4510384535657	baby	1	233
1430557025	5.4510384535657	royal	1	233
1430557026	NaN	royalbaby	NaN	221
1430557026	NaN	cambridge	NaN	221
1430557026	NaN	princess	NaN	221
1430557026	4.705015520957808	baby	2	221
1430557026	4.705015520957808	royal	2	221
1430557027	NaN	royalbaby	NaN	247
1430557027	NaN	cambridge	NaN	247
1430557027	NaN	princess	NaN	247
1430557027	5.5093883366279774	baby	1	247
1430557027	4.816241156068032	royal	2	247
1430557028	4.770684624465665	royalbaby	2	236
1430557028	5.4638318050256105	cambridge	1	236
1430557028	5.4638318050256105	princess	1	236
1430557028	5.4638318050256105	baby	1	236
1430557028	NaN	royal	NaN	236
1430557029	5.407171771460119	royalbaby	1	223
1430557029	NaN	cambridge	NaN	223
1430557029	NaN	princess	NaN	223
1430557029	NaN	baby	NaN	223
1430557029	NaN	royal	NaN	223
1430557030	5.389071729816501	royalbaby	1	219
1430557030	NaN	cambridge	NaN	219
1430557030	NaN	princess	NaN	219
1430557030	4.695924549256556	baby	2	219
1430557030	5.389071729816501	royal	1	219
1430557031	NaN	royalbaby	NaN	246
1430557031	NaN	cambridge	NaN	246
1430557031	NaN	princess	NaN	246
1430557031	5.5053315359323625	baby	1	246
1430557031	NaN	royal	NaN	246
1430557032	NaN	royalbaby	NaN	220
1430557032	NaN	cambridge	NaN	220
1430557032	NaN	princess	NaN	220
1430557032	4.700480365792417	baby	2	220
1430557032	5.393627546352362	royal	1	220
1430557033	5.6131281063880705	royalbaby	1	274
1430557033	NaN	cambridge	NaN	274
1430557033	NaN	princess	NaN	274
1430557033	4.5145158177199605	baby	3	274
1430557033	4.919980925828125	royal	2	274
1430557034	5.337538079701318	royalbaby	1	208
1430557034	NaN	cambridge	NaN	208
1430557034	5.337538079701318	princess	1	208
1430557034	NaN	baby	NaN	208
1430557034	NaN	royal	NaN	208
1430557035	NaN	royalbaby	NaN	236
1430557035	NaN	cambridge	NaN	236
1430557035	NaN	princess	NaN	236
1430557035	NaN	baby	NaN	236
1430557035	NaN	royal	NaN	236
1430557036	4.663439094112067	royalbaby	2	212
1430557036	NaN	cambridge	NaN	212
1430557036	NaN	princess	NaN	212
1430557036	5.356586274672012	baby	1	212
1430557036	NaN	royal	NaN	212
1430557037	NaN	royalbaby	NaN	197
1430557037	NaN	cambridge	NaN	197
1430557037	NaN	princess	NaN	197
1430557037	4.590056548178043	baby	2	197
1430557037	NaN	royal	NaN	197
1430557038	NaN	royalbaby	NaN	203
1430557038	NaN	cambridge	NaN	203
1430557038	NaN	princess	NaN	203
1430557038	NaN	baby	NaN	203
1430557038	NaN	royal	NaN	203
1430557039	5.3706380281276624	royalbaby	1	215
1430557039	NaN	cambridge	NaN	215
1430557039	NaN	princess	NaN	215
1430557039	NaN	baby	NaN	215
1430557039	NaN	royal	NaN	215
1430557040	5.3706380281276624	royalbaby	1	215
1430557040	NaN	cambridge	NaN	215
1430557040	NaN	princess	NaN	215
1430557040	5.3706380281276624	baby	1	215
1430557040	5.3706380281276624	royal	1	215
1430557041	NaN	royalbaby	NaN	198
1430557041	NaN	cambridge	NaN	198
1430557041	NaN	princess	NaN	198
1430557041	5.288267030694535	baby	1	198
1430557041	4.59511985013459	royal	2	198
1430557042	4.774912960575186	royalbaby	2	237
1430557042	NaN	cambridge	NaN	237
1430557042	NaN	princess	NaN	237
1430557042	5.4680601411351315	baby	1	237
1430557042	5.4680601411351315	royal	1	237
1430557043	4.7318028369214575	royalbaby	2	227
1430557043	5.424950017481403	cambridge	1	227
1430557043	NaN	princess	NaN	227
1430557043	4.326337728813293	baby	3	227
1430557043	NaN	royal	NaN	227
1430557044	4.590056548178043	royalbaby	2	197
1430557044	NaN	cambridge	NaN	197
1430557044	NaN	princess	NaN	197
1430557044	NaN	baby	NaN	197
1430557044	NaN	royal	NaN	197
1430557045	NaN	royalbaby	NaN	236
1430557045	NaN	cambridge	NaN	236
1430557045	NaN	princess	NaN	236
1430557045	NaN	baby	NaN	236
1430557045	NaN	royal	NaN	236
1430557046	5.3706380281276624	royalbaby	1	215
1430557046	NaN	cambridge	NaN	215
1430557046	NaN	princess	NaN	215
1430557046	4.677490847567717	baby	2	215
1430557046	NaN	royal	NaN	215
1430557047	NaN	royalbaby	NaN	192
1430557047	NaN	cambridge	NaN	192
1430557047	NaN	princess	NaN	192
1430557047	5.2574953720277815	baby	1	192
1430557047	5.2574953720277815	royal	1	192
1430557048	NaN	royalbaby	NaN	225
1430557048	NaN	cambridge	NaN	225
1430557048	NaN	princess	NaN	225
1430557048	5.41610040220442	baby	1	225
1430557048	4.722953221644475	royal	2	225
1430557049	5.407171771460119	royalbaby	1	223
1430557049	NaN	cambridge	NaN	223
1430557049	NaN	princess	NaN	223
1430557049	5.407171771460119	baby	1	223
1430557049	5.407171771460119	royal	1	223
1430557050	5.4680601411351315	royalbaby	1	237
1430557050	NaN	cambridge	NaN	237
1430557050	NaN	princess	NaN	237
1430557050	4.774912960575186	baby	2	237
1430557050	NaN	royal	NaN	237
1430557051	NaN	royalbaby	NaN	232
1430557051	NaN	cambridge	NaN	232
1430557051	NaN	princess	NaN	232
1430557051	4.060443010546419	baby	4	232
1430557051	4.7535901911063645	royal	2	232
1430557052	5.342334251964811	royalbaby	1	209
1430557052	NaN	cambridge	NaN	209
1430557052	NaN	princess	NaN	209
1430557052	4.6491870714048655	baby	2	209
1430557052	NaN	royal	NaN	209
1430557053	4.600157644164547	royalbaby	2	199
1430557053	5.293304824724492	cambridge	1	199
1430557053	NaN	princess	NaN	199
1430557053	5.293304824724492	baby	1	199
1430557053	NaN	royal	NaN	199
1430557054	5.429345628954441	royalbaby	1	228
1430557054	NaN	cambridge	NaN	228
1430557054	NaN	princess	NaN	228
1430557054	4.736198448394496	baby	2	228
1430557054	NaN	royal	NaN	228
1430557055	NaN	royalbaby	NaN	234
1430557055	NaN	cambridge	NaN	234
1430557055	NaN	princess	NaN	234
1430557055	4.762173934797756	baby	2	234
1430557055	5.455321115357702	royal	1	234
1430557056	5.3230099791384085	royalbaby	1	205
1430557056	NaN	cambridge	NaN	205
1430557056	NaN	princess	NaN	205
1430557056	5.3230099791384085	baby	1	205
1430557056	NaN	royal	NaN	205
1430557057	NaN	royalbaby	NaN	215
1430557057	NaN	cambridge	NaN	215
1430557057	NaN	princess	NaN	215
1430557057	5.3706380281276624	baby	1	215
1430557057	NaN	royal	NaN	215
1430557058	5.351858133476067	royalbaby	1	211
1430557058	NaN	cambridge	NaN	211
1430557058	NaN	princess	NaN	211
1430557058	NaN	baby	NaN	211
1430557058	NaN	royal	NaN	211
1430557059	NaN	royalbaby	NaN	192
1430557059	NaN	cambridge	NaN	192
1430557059	NaN	princess	NaN	192
1430557059	4.564348191467836	baby	2	192
1430557059	5.2574953720277815	royal	1	192
1430557060	NaN	royalbaby	NaN	214
1430557060	NaN	cambridge	NaN	214
1430557060	NaN	princess	NaN	214
1430557060	5.365976015021851	baby	1	214
1430557060	NaN	royal	NaN	214
1430557061	NaN	royalbaby	NaN	194
1430557061	NaN	cambridge	NaN	194
1430557061	NaN	princess	NaN	194
1430557061	NaN	baby	NaN	194
1430557061	NaN	royal	NaN	194
1430557062	NaN	royalbaby	NaN	222
1430557062	NaN	cambridge	NaN	222
1430557062	NaN	princess	NaN	222
1430557062	5.402677381872279	baby	1	222
1430557062	5.402677381872279	royal	1	222
1430557063	4.590056548178043	royalbaby	2	197
1430557063	NaN	cambridge	NaN	197
1430557063	NaN	princess	NaN	197
1430557063	NaN	baby	NaN	197
1430557063	NaN	royal	NaN	197
1430557064	5.4510384535657	royalbaby	1	233
1430557064	NaN	cambridge	NaN	233
1430557064	NaN	princess	NaN	233
1430557064	NaN	baby	NaN	233
1430557064	NaN	royal	NaN	233
1430557065	5.41610040220442	royalbaby	1	225
1430557065	NaN	cambridge	NaN	225
1430557065	NaN	princess	NaN	225
1430557065	4.31748811353631	baby	3	225
1430557065	5.41610040220442	royal	1	225
1430557066	5.389071729816501	royalbaby	1	219
1430557066	NaN	cambridge	NaN	219
1430557066	5.389071729816501	princess	1	219
1430557066	5.389071729816501	baby	1	219
1430557066	NaN	royal	NaN	219
1430557067	5.342334251964811	royalbaby	1	209
1430557067	5.342334251964811	cambridge	1	209
1430557067	NaN	princess	NaN	209
1430557067	NaN	baby	NaN	209
1430557067	NaN	royal	NaN	209
1430557068	NaN	royalbaby	NaN	246
1430557068	4.812184355372417	cambridge	2	246
1430557068	NaN	princess	NaN	246
1430557068	NaN	baby	NaN	246
1430557068	5.5053315359323625	royal	1	246
1430557069	NaN	royalbaby	NaN	270
1430557069	NaN	cambridge	NaN	270
1430557069	NaN	princess	NaN	270
1430557069	NaN	baby	NaN	270
1430557069	NaN	royal	NaN	270
1430557070	NaN	royalbaby	NaN	197
1430557070	NaN	cambridge	NaN	197
1430557070	NaN	princess	NaN	197
1430557070	NaN	baby	NaN	197
1430557070	NaN	royal	NaN	197
1430557071	4.700480365792417	royalbaby	2	220
1430557071	5.393627546352362	cambridge	1	220
1430557071	NaN	princess	NaN	220
1430557071	NaN	baby	NaN	220
1430557071	NaN	royal	NaN	220
1430557072	5.356586274672012	royalbaby	1	212
1430557072	NaN	cambridge	NaN	212
1430557072	NaN	princess	NaN	212
1430557072	5.356586274672012	baby	1	212
1430557072	NaN	royal	NaN	212
1430557073	5.5254529391317835	royalbaby	1	251
1430557073	NaN	cambridge	NaN	251
1430557073	NaN	princess	NaN	251
1430557073	4.832305758571839	baby	2	251
1430557073	5.5254529391317835	royal	1	251
1430557074	NaN	royalbaby	NaN	197
1430557074	5.2832037287379885	cambridge	1	197
1430557074	NaN	princess	NaN	197
1430557074	NaN	baby	NaN	197
1430557074	NaN	royal	NaN	197
1430557075	NaN	royalbaby	NaN	218
1430557075	NaN	cambridge	NaN	218
1430557075	NaN	princess	NaN	218
1430557075	5.384495062789089	baby	1	218
1430557075	NaN	royal	NaN	218
1430557076	5.44673737166631	royalbaby	1	232
1430557076	5.44673737166631	cambridge	1	232
1430557076	5.44673737166631	princess	1	232
1430557076	4.7535901911063645	baby	2	232
1430557076	4.7535901911063645	royal	2	232
1430557077	5.3612921657094255	royalbaby	1	213
1430557077	NaN	cambridge	NaN	213
1430557077	NaN	princess	NaN	213
1430557077	4.66814498514948	baby	2	213
1430557077	NaN	royal	NaN	213
1430557078	NaN	royalbaby	NaN	204
1430557078	NaN	cambridge	NaN	204
1430557078	NaN	princess	NaN	204
1430557078	5.318119993844216	baby	1	204
1430557078	5.318119993844216	royal	1	204
1430557079	NaN	royalbaby	NaN	203
1430557079	NaN	cambridge	NaN	203
1430557079	NaN	princess	NaN	203
1430557079	5.313205979041787	baby	1	203
1430557079	NaN	royal	NaN	203
1430557080	4.600157644164547	royalbaby	2	199
1430557080	NaN	cambridge	NaN	199
1430557080	NaN	princess	NaN	199
1430557080	5.293304824724492	baby	1	199
1430557080	5.293304824724492	royal	1	199
1430557081	NaN	royalbaby	NaN	217
1430557081	NaN	cambridge	NaN	217
1430557081	NaN	princess	NaN	217
1430557081	5.37989735354046	baby	1	217
1430557081	NaN	royal	NaN	217
1430557082	NaN	royalbaby	NaN	254
1430557082	NaN	cambridge	NaN	254
1430557082	NaN	princess	NaN	254
1430557082	5.537334267018537	baby	1	254
1430557082	NaN	royal	NaN	254
1430557083	NaN	royalbaby	NaN	226
1430557083	NaN	cambridge	NaN	226
1430557083	NaN	princess	NaN	226
1430557083	5.420534999272286	baby	1	226
1430557083	5.420534999272286	royal	1	226
1430557084	5.484796933490655	royalbaby	1	241
1430557084	NaN	cambridge	NaN	241
1430557084	NaN	princess	NaN	241
1430557084	4.791649752930709	baby	2	241
