timestamp	idf_value	term	count	amount_tweets
1429937821	NaN	nepal	NaN	255
1429937821	NaN	quake	NaN	255
1429937821	NaN	earthquake	NaN	255
1429937821	NaN	temblor	NaN	255
1429937821	NaN	seism	NaN	255
1429937821	NaN	shaking	NaN	255
1429937821	NaN	shock	NaN	255
1429937822	NaN	nepal	NaN	354
1429937822	NaN	quake	NaN	354
1429937822	NaN	earthquake	NaN	354
1429937822	NaN	temblor	NaN	354
1429937822	NaN	seism	NaN	354
1429937822	NaN	shaking	NaN	354
1429937822	NaN	shock	NaN	354
1429937823	NaN	nepal	NaN	268
1429937823	NaN	quake	NaN	268
1429937823	NaN	earthquake	NaN	268
1429937823	NaN	temblor	NaN	268
1429937823	NaN	seism	NaN	268
1429937823	NaN	shaking	NaN	268
1429937823	NaN	shock	NaN	268
1429937824	NaN	nepal	NaN	326
1429937824	NaN	quake	NaN	326
1429937824	NaN	earthquake	NaN	326
1429937824	NaN	temblor	NaN	326
1429937824	NaN	seism	NaN	326
1429937824	NaN	shaking	NaN	326
1429937824	NaN	shock	NaN	326
1429937825	NaN	nepal	NaN	287
1429937825	NaN	quake	NaN	287
1429937825	NaN	earthquake	NaN	287
1429937825	NaN	temblor	NaN	287
1429937825	NaN	seism	NaN	287
1429937825	NaN	shaking	NaN	287
1429937825	NaN	shock	NaN	287
1429937826	NaN	nepal	NaN	228
1429937826	NaN	quake	NaN	228
1429937826	NaN	earthquake	NaN	228
1429937826	NaN	temblor	NaN	228
1429937826	NaN	seism	NaN	228
1429937826	NaN	shaking	NaN	228
1429937826	NaN	shock	NaN	228
1429937827	NaN	nepal	NaN	362
1429937827	NaN	quake	NaN	362
1429937827	NaN	earthquake	NaN	362
1429937827	NaN	temblor	NaN	362
1429937827	NaN	seism	NaN	362
1429937827	NaN	shaking	NaN	362
1429937827	NaN	shock	NaN	362
1429937828	NaN	nepal	NaN	342
1429937828	NaN	quake	NaN	342
1429937828	NaN	earthquake	NaN	342
1429937828	NaN	temblor	NaN	342
1429937828	NaN	seism	NaN	342
1429937828	NaN	shaking	NaN	342
1429937828	NaN	shock	NaN	342
1429937829	NaN	nepal	NaN	251
1429937829	NaN	quake	NaN	251
1429937829	NaN	earthquake	NaN	251
1429937829	NaN	temblor	NaN	251
1429937829	NaN	seism	NaN	251
1429937829	NaN	shaking	NaN	251
1429937829	NaN	shock	NaN	251
1429937830	NaN	nepal	NaN	361
1429937830	NaN	quake	NaN	361
1429937830	NaN	earthquake	NaN	361
1429937830	NaN	temblor	NaN	361
1429937830	NaN	seism	NaN	361
1429937830	NaN	shaking	NaN	361
1429937830	NaN	shock	NaN	361
1429937831	NaN	nepal	NaN	307
1429937831	NaN	quake	NaN	307
1429937831	NaN	earthquake	NaN	307
1429937831	NaN	temblor	NaN	307
1429937831	NaN	seism	NaN	307
1429937831	NaN	shaking	NaN	307
1429937831	NaN	shock	NaN	307
1429937832	NaN	nepal	NaN	290
1429937832	NaN	quake	NaN	290
1429937832	NaN	earthquake	NaN	290
1429937832	NaN	temblor	NaN	290
1429937832	NaN	seism	NaN	290
1429937832	NaN	shaking	NaN	290
1429937832	5.66988092298052	shock	1	290
1429937833	NaN	nepal	NaN	304
1429937833	NaN	quake	NaN	304
1429937833	NaN	earthquake	NaN	304
1429937833	NaN	temblor	NaN	304
1429937833	NaN	seism	NaN	304
1429937833	NaN	shaking	NaN	304
1429937833	NaN	shock	NaN	304
1429937834	NaN	nepal	NaN	290
1429937834	NaN	quake	NaN	290
1429937834	NaN	earthquake	NaN	290
1429937834	NaN	temblor	NaN	290
1429937834	NaN	seism	NaN	290
1429937834	NaN	shaking	NaN	290
1429937834	NaN	shock	NaN	290
1429937835	NaN	nepal	NaN	223
1429937835	NaN	quake	NaN	223
1429937835	NaN	earthquake	NaN	223
1429937835	NaN	temblor	NaN	223
1429937835	NaN	seism	NaN	223
1429937835	NaN	shaking	NaN	223
1429937835	NaN	shock	NaN	223
1429937836	NaN	nepal	NaN	388
1429937836	NaN	quake	NaN	388
1429937836	NaN	earthquake	NaN	388
1429937836	NaN	temblor	NaN	388
1429937836	NaN	seism	NaN	388
1429937836	NaN	shaking	NaN	388
1429937836	NaN	shock	NaN	388
1429937837	NaN	nepal	NaN	313
1429937837	NaN	quake	NaN	313
1429937837	NaN	earthquake	NaN	313
1429937837	NaN	temblor	NaN	313
1429937837	NaN	seism	NaN	313
1429937837	NaN	shaking	NaN	313
1429937837	5.746203190540153	shock	1	313
1429937838	NaN	nepal	NaN	200
1429937838	NaN	quake	NaN	200
1429937838	NaN	earthquake	NaN	200
1429937838	NaN	temblor	NaN	200
1429937838	NaN	seism	NaN	200
1429937838	NaN	shaking	NaN	200
1429937838	NaN	shock	NaN	200
1429937839	NaN	nepal	NaN	380
1429937839	NaN	quake	NaN	380
1429937839	NaN	earthquake	NaN	380
1429937839	NaN	temblor	NaN	380
1429937839	NaN	seism	NaN	380
1429937839	5.940171252720432	shaking	1	380
1429937839	NaN	shock	NaN	380
1429937840	NaN	nepal	NaN	240
1429937840	NaN	quake	NaN	240
1429937840	NaN	earthquake	NaN	240
1429937840	NaN	temblor	NaN	240
1429937840	NaN	seism	NaN	240
1429937840	NaN	shaking	NaN	240
1429937840	NaN	shock	NaN	240
1429937841	NaN	nepal	NaN	316
1429937841	NaN	quake	NaN	316
1429937841	NaN	earthquake	NaN	316
1429937841	NaN	temblor	NaN	316
1429937841	NaN	seism	NaN	316
1429937841	NaN	shaking	NaN	316
1429937841	NaN	shock	NaN	316
1429937842	NaN	nepal	NaN	316
1429937842	NaN	quake	NaN	316
1429937842	NaN	earthquake	NaN	316
1429937842	NaN	temblor	NaN	316
1429937842	NaN	seism	NaN	316
1429937842	NaN	shaking	NaN	316
1429937842	NaN	shock	NaN	316
1429937843	NaN	nepal	NaN	275
1429937843	NaN	quake	NaN	275
1429937843	NaN	earthquake	NaN	275
1429937843	NaN	temblor	NaN	275
1429937843	NaN	seism	NaN	275
1429937843	NaN	shaking	NaN	275
1429937843	NaN	shock	NaN	275
1429937844	NaN	nepal	NaN	393
1429937844	NaN	quake	NaN	393
1429937844	NaN	earthquake	NaN	393
1429937844	NaN	temblor	NaN	393
1429937844	NaN	seism	NaN	393
1429937844	NaN	shaking	NaN	393
1429937844	NaN	shock	NaN	393
1429937845	NaN	nepal	NaN	190
1429937845	NaN	quake	NaN	190
1429937845	NaN	earthquake	NaN	190
1429937845	NaN	temblor	NaN	190
1429937845	NaN	seism	NaN	190
1429937845	NaN	shaking	NaN	190
1429937845	NaN	shock	NaN	190
1429937846	NaN	nepal	NaN	403
1429937846	NaN	quake	NaN	403
1429937846	NaN	earthquake	NaN	403
1429937846	NaN	temblor	NaN	403
1429937846	NaN	seism	NaN	403
1429937846	NaN	shaking	NaN	403
1429937846	NaN	shock	NaN	403
1429937847	NaN	nepal	NaN	289
1429937847	NaN	quake	NaN	289
1429937847	5.666426688112432	earthquake	1	289
1429937847	NaN	temblor	NaN	289
1429937847	NaN	seism	NaN	289
1429937847	NaN	shaking	NaN	289
1429937847	NaN	shock	NaN	289
1429937848	NaN	nepal	NaN	334
1429937848	NaN	quake	NaN	334
1429937848	NaN	earthquake	NaN	334
1429937848	NaN	temblor	NaN	334
1429937848	NaN	seism	NaN	334
1429937848	NaN	shaking	NaN	334
1429937848	NaN	shock	NaN	334
1429937849	NaN	nepal	NaN	273
1429937849	NaN	quake	NaN	273
1429937849	NaN	earthquake	NaN	273
1429937849	NaN	temblor	NaN	273
1429937849	NaN	seism	NaN	273
1429937849	NaN	shaking	NaN	273
1429937849	NaN	shock	NaN	273
1429937850	NaN	nepal	NaN	282
1429937850	NaN	quake	NaN	282
1429937850	NaN	earthquake	NaN	282
1429937850	NaN	temblor	NaN	282
1429937850	NaN	seism	NaN	282
1429937850	NaN	shaking	NaN	282
1429937850	NaN	shock	NaN	282
1429937851	NaN	nepal	NaN	317
1429937851	NaN	quake	NaN	317
1429937851	NaN	earthquake	NaN	317
1429937851	NaN	temblor	NaN	317
1429937851	NaN	seism	NaN	317
1429937851	NaN	shaking	NaN	317
1429937851	NaN	shock	NaN	317
1429937852	NaN	nepal	NaN	347
1429937852	NaN	quake	NaN	347
1429937852	NaN	earthquake	NaN	347
1429937852	NaN	temblor	NaN	347
1429937852	NaN	seism	NaN	347
1429937852	NaN	shaking	NaN	347
1429937852	NaN	shock	NaN	347
1429937853	NaN	nepal	NaN	326
1429937853	NaN	quake	NaN	326
1429937853	NaN	earthquake	NaN	326
1429937853	NaN	temblor	NaN	326
1429937853	NaN	seism	NaN	326
1429937853	NaN	shaking	NaN	326
1429937853	5.786897381366708	shock	1	326
